dbn,school_name,cte_designated_high_school,program_cip_code,program_name,industry_cluster,number_of_industry_partners,is_nysed_approved,grade_levels_served,enrolled_student_counts,number_of_staff_attending,Year
17K548,Brooklyn School for Music & Theatre,False,500502,Technical Theater/Theater Design and Technology,"Arts, Audio/Video Technology and Communications Cluster",2,Non-Approved,"9,10,11,12",202,1,2019-2020
17K600,Clara Barton High School,True,510601,Dental Assisting/Assistant,Health Science Cluster,5,Approved,"9,10,11,12",128,5,2019-2020
17K600,Clara Barton High School,True,510603,Dental Laboratory Technology/Technician,Health Science Cluster,3,Approved,"9,10,11,12",223,5,2019-2020
17K600,Clara Barton High School,True,511613,Licensed Practical/Vocational Nurse Training,Health Science Cluster,4,Approved,"9,10,11,12",130,5,2019-2020
17K600,Clara Barton High School,True,511614,Nurse/Nursing Assistant/Aide and Patient Care Assistant,Health Science Cluster,3,Approved,"9,10,11,12",270,5,2019-2020
17K600,Clara Barton High School,True,511801,Opticianry/Ophthalmic Dispensing Optician,Health Science Cluster,2,Approved,"9,10,11,12",56,5,2019-2020
17K751,Academy for Health Careers,True,511614,Nurse/Nursing Assistant/Aide and Patient Care Assistant,Health Science Cluster,1,Non-Approved,"9,10,11,12",275,2,2019-2020
18K567,Brooklyn Theatre Arts High School,False,500501,"Drama and Dramatics/Theatre Arts, General","Arts, Audio/Video Technology and Communications Cluster",1,Non-Approved,"9,10,11,12",144,0,2019-2020
18K617,High School for Innovation in Advertising and Medi,True,110899,"Computer Software and Media Applications, Other",Information Technology Cluster,4,Non-Approved,"9,10,11,12",191,3,2019-2020
19K502,FDNY - Captain Vernon A. Richard High School for F,False,510904,Emergency Medical Technology/Technician (EMT Paramedic),Health Science Cluster,2,Non-Approved,"10,11,12",59,2,2019-2020
19K510,World Academy for Total Community Health High Scho,False,511614,Nurse/Nursing Assistant/Aide and Patient Care Assistant,Health Science Cluster,5,Approved,"9,10,11,12",94,1,2019-2020
19K583,Multicultural High School,False,490101,"Aeronautics/Aviation/Aerospace Science and Technology, General","Transportation, Distribution and Logistics Cluster",2,Non-Approved,"9,10,12",13,1,2019-2020
19K615,Transit Tech Career and Technical Education High S,True,470101,"Electrical/Electronics Equipment Installation and Repair, General",Information Technology Cluster,0,Approved,"9,10,11,12",131,8,2019-2020
19K615,Transit Tech Career and Technical Education High S,True,470104,Computer Installation and Repair Technology/Technician,Information Technology Cluster,2,Approved,"9,10,11,12",193,8,2019-2020
19K615,Transit Tech Career and Technical Education High S,True,470105,Industrial Electronics Technology/Technician,Manufacturing Production Cluster,2,Approved,"9,10,11,12",14,8,2019-2020
19K615,Transit Tech Career and Technical Education High S,True,479999,"Mechanic and Repair Technologies/Technicians, Other","Transportation, Distribution and Logistics Cluster",9,Approved,"9,10,11,12",110,8,2019-2020
19K618,Academy of Innovative Technology,True,110801,"Web Page, Digital/Multimedia and Information Resources Design",Information Technology Cluster,0,Approved,"10,11,12",81,3,2019-2020
19K618,Academy of Innovative Technology,True,470101,"Electrical/Electronics Equipment Installation and Repair, General",Information Technology Cluster,3,Approved,"9,10,11,12",244,3,2019-2020
19K618,Academy of Innovative Technology,True,500411,Game and Interactive Media Design,"Arts, Audio/Video Technology and Communications Cluster",3,Approved,"10,11,12",81,3,2019-2020
19K660,W. H. Maxwell Career and Technical Education High,True,100105,Communications Technology/Technician,"Arts, Audio/Video Technology and Communications Cluster",3,Approved,"9,10,11,12",98,4,2019-2020
19K660,W. H. Maxwell Career and Technical Education High,True,120401,"Cosmetology/Cosmetologist, General",Marketing Sales and Services Cluster,0,Approved,"9,10,11,12",156,4,2019-2020
19K660,W. H. Maxwell Career and Technical Education High,True,500407,Fashion/Apparel Design,"Arts, Audio/Video Technology and Communications Cluster",3,Approved,"10,11,12",31,4,2019-2020
19K660,W. H. Maxwell Career and Technical Education High,True,511006,Ophthalmic Laboratory Technology/Technician,Health Science Cluster,3,Approved,"9,10,11,12",107,4,2019-2020
19K764,The Urban Assembly School for Collaborative Health,True,510801,Medical/Clinical Assistant,Health Science Cluster,5,Approved,,0,3,2019-2020
20K445,New Utrecht High School,False,430199,"Corrections and Criminal Justice, Other",Law and Public Safety Cluster,9,Non-Approved,"9,10,11,12",166,9,2019-2020
20K445,New Utrecht High School,False,510714,Medical Insurance Specialist/Medical Biller,Health Science Cluster,6,Non-Approved,"9,10,11,12",307,9,2019-2020
20K445,New Utrecht High School,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,5,Non-Approved,"9,10,11,12",246,9,2019-2020
