dbn,school_name,cte_designated_high_school,program_cip_code,program_name,industry_cluster,number_of_industry_partners,is_nysed_approved,grade_levels_served,enrolled_student_counts,number_of_school_staff,Year
26Q495,Bayside High School,False,90702,Digital Communication and Media/Multimedia,"Arts, Audio/Video Technology and Communications Cluster",2,Approved,9101112,518,13,2016-2017
26Q495,Bayside High School,False,100203,Recording Arts Technology/Technician,"Arts, Audio/Video Technology and Communications Cluster",1,Non-Approved,9101112,527,13,2016-2017
26Q495,Bayside High School,False,110201,"Computer Programming/Programmer, General",Information Technology Cluster,3,Approved,9101112,571,13,2016-2017
26Q495,Bayside High School,False,150507,Environmental Engineering Technology/Environmental Technology,"Agriculture, Food and Natural Resources Cluster",4,Approved,9101112,427,13,2016-2017
26Q495,Bayside High School,False,449999,"Public Administration and Social Service Professions, Other",Government and Public Administration Cluster,0,Non-Approved,9101112,315,13,2016-2017
26Q495,Bayside High School,False,399031,Fitness Trainers & Aerobics Instructors,Education and Training Cluster,7,Approved,9101112,619,13,2016-2017
27Q302,"Queens High School for Information, Research, and",False,110901,Computer Systems Networking and Telecommunications,Information Technology Cluster,0,Non-Approved,9101112,343,3,2016-2017
27Q400,August Martin High School,False,120503,Culinary Arts/Chef Training,Hospitality and Tourism Cluster,1,Non-Approved,9101112,117,5,2016-2017
27Q475,Richmond Hill High School,False,430199,"Corrections and Criminal Justice, Other",Law and Public Safety Cluster,11,Non-Approved,9101112,104,5,2016-2017
27Q480,John Adams High School,False,430199,"Corrections and Criminal Justice, Other",Law and Public Safety Cluster,10,Non-Approved,9101112,62,3,2016-2017
27Q650,"High School for Construction Trades, Engineering a",True,151001,Construction Engineering Technology/Technician,Architecture and Construction Cluster,5,Approved,9101112,335,6,2016-2017
27Q650,"High School for Construction Trades, Engineering a",True,151303,Architectural Drafting and Architectural CAD/CADD,Manufacturing Production Cluster,5,Approved,9101112,335,6,2016-2017
27Q650,"High School for Construction Trades, Engineering a",True,151304,Civil Drafting and Civil Engineering CAD/CADD,Manufacturing Production Cluster,5,Approved,9101112,337,6,2016-2017
28Q440,Forest Hills High School,False,430199,"Corrections and Criminal Justice, Other",Law and Public Safety Cluster,9,Non-Approved,9101112,540,2,2016-2017
28Q440,Forest Hills High School,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,2,Approved,9101112,528,2,2016-2017
28Q505,Hillcrest High School,False,151302,CAD/CADD Drafting and/or Design Technology/Technician,Manufacturing Production Cluster,4,Non-Approved,9101112,133,8,2016-2017
28Q505,Hillcrest High School,False,430199,"Corrections and Criminal Justice, Other",Law and Public Safety Cluster,17,Non-Approved,9101112,370,8,2016-2017
28Q505,Hillcrest High School,False,511614,Nurse/Nursing Assistant/Aide and Patient Care Assistant,Health Science Cluster,3,Approved,9101112,179,8,2016-2017
28Q505,Hillcrest High School,False,520101,"Business/Commerce, General",Business Management and Administration Cluster,3,Approved,9101112,85,8,2016-2017
28Q620,Thomas A. Edison Career and Technical Education Hi,True,100305,"Graphic and Printing Equipment Operator, General Production",Manufacturing Production Cluster,2,Approved,9101112,77,23,2016-2017
28Q620,Thomas A. Edison Career and Technical Education Hi,True,110901,Computer Systems Networking and Telecommunications,Information Technology Cluster,2,Approved,9101112,283,23,2016-2017
28Q620,Thomas A. Edison Career and Technical Education Hi,True,111004,Web/Multimedia Management and Webmaster,Information Technology Cluster,1,Approved,9101112,173,23,2016-2017
28Q620,Thomas A. Edison Career and Technical Education Hi,True,150405,Robotics Technology/Technician,Manufacturing Production Cluster,2,Approved,9101112,107,23,2016-2017
28Q620,Thomas A. Edison Career and Technical Education Hi,True,151306,Mechanical Drafting and Mechanical Drafting CAD/CADD,Manufacturing Production Cluster,2,Approved,9101112,211,23,2016-2017
28Q620,Thomas A. Edison Career and Technical Education Hi,True,460302,Electrician,Architecture and Construction Cluster,2,Non-Approved,9101112,102,23,2016-2017
28Q620,Thomas A. Edison Career and Technical Education Hi,True,470104,Computer Installation and Repair Technology/Technician,Information Technology Cluster,2,Approved,9101112,344,23,2016-2017
28Q620,Thomas A. Edison Career and Technical Education Hi,True,470603,Autobody/Collision and Repair Technology/Technician,"Transportation, Distribution and Logistics Cluster",3,Approved,9101112,106,23,2016-2017
28Q620,Thomas A. Edison Career and Technical Education Hi,True,470604,Automobile/Automotive Mechanics Technology/Technician,"Transportation, Distribution and Logistics Cluster",4,Approved,9101112,327,23,2016-2017
28Q620,Thomas A. Edison Career and Technical Education Hi,True,500402,Commercial and Advertising Art,"Arts, Audio/Video Technology and Communications Cluster",2,Approved,9101112,133,23,2016-2017
28Q620,Thomas A. Edison Career and Technical Education Hi,True,511099,"Clinical/Medical Laboratory Science and Allied Professions, Other",Health Science Cluster,4,Approved,9101112,138,23,2016-2017
29Q243,Institute for Health Professions at Cambria Height,True,510810,Emergency Care Attendant (EMT Ambulance),Health Science Cluster,1,Non-Approved,12,29,5,2016-2017
29Q243,Institute for Health Professions at Cambria Height,True,511614,Nurse/Nursing Assistant/Aide and Patient Care Assistant,Health Science Cluster,1,Non-Approved,9101112,356,5,2016-2017
29Q272,George Washington Carver High School for the Scien,False,510808,Veterinary/Animal Health Technology/Technician and Veterinarian Assistant,Health Science Cluster,7,Non-Approved,9101112,177,3,2016-2017
29Q313,Benjamin Franklin High School for Finance & Inform,True,110103,Information Technology,Information Technology Cluster,2,Non-Approved,91011,237,1,2016-2017
29Q313,Benjamin Franklin High School for Finance & Inform,True,520304,Accounting and Finance,Business Management and Administration Cluster,4,Non-Approved,91011,71,1,2016-2017
29Q326,Cambria Heights Academy,False,110201,"Computer Programming/Programmer, General",Information Technology Cluster,1,Non-Approved,9101112,269,0,2016-2017
30Q258,Energy Tech High School,True,150000,"Engineering Technology, General",Scientific Research and Engineering Cluster,2,Non-Approved,9101112,425,4,2016-2017
30Q301,Academy for Careers in Television and Film,True,500602,Cinematography and Film/Video Production,"Arts, Audio/Video Technology and Communications Cluster",4,Approved,9101112,540,0,2016-2017
30Q445,William Cullen Bryant High School,False,430199,"Corrections and Criminal Justice, Other",Law and Public Safety Cluster,8,Non-Approved,9101112,310,7,2016-2017
30Q445,William Cullen Bryant High School,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,2,Non-Approved,9101112,284,7,2016-2017
30Q450,Long Island City High School,False,120503,Culinary Arts/Chef Training,Hospitality and Tourism Cluster,6,Approved,9101112,437,16,2016-2017
